,SO,PO,True PO,CV,EBZ,True EBZ,EBPA(0.3),True EBPA(0.3),EBPA(0.4),True EBPA(0.4),EBPA(0.5),True EBPA(0.5),EBZ Range,EBPA(0.3) Range,EBPA(0.4) Range,EBPA(0.5) Range
0,1.0,1.179502773129864,0.7973893297410583,0.6010142699918953,1.1098122523584326,0.8532363107848716,1.0950892916675954,0.8425748278170512,1.1042402516610312,0.8338276619591146,1.1096459810994852,0.8486279980475454,0.30703153384811144,0.3595220839335861,0.29751655001871574,0.3234927482219424
1,1.0,1.1340841583752996,0.8748145135219705,0.6444062676861583,1.0893958268344108,0.8744385027060193,1.0984955925324285,0.8817832652385038,1.0962355575813725,0.8715824282005753,1.0866134522798114,0.8624523085644781,0.42529023721906645,0.30194921440404704,0.2498272130098685,0.3059984714751701
2,1.0,1.3581355460267308,0.8455740758382095,1.0346826313227984,1.2795996479075684,0.894251179752531,1.303312116447116,0.8669450784059037,1.280374356175334,0.8944781900315636,1.2807046098599626,0.8942792617498244,0.40674068115047063,0.3715181017357934,0.3676039410391337,0.41051823046928704
3,1.0,1.0817009167398588,0.9040442989242778,0.5590531137480028,1.0705121891419387,0.9035732923084631,1.0568211865419275,0.8991414338347858,1.038980823336607,0.8893281808839361,1.0466559899294436,0.887427848126331,0.21468794941197947,0.15400251555656358,0.14345179272621214,0.15365464952156144
4,1.0,1.1616848274029148,0.9533681042929644,0.8574708942902551,1.1503361220468467,0.9345690142907863,1.150819202395514,0.9467578194074275,1.1546755653242853,0.9379056671460947,1.1479818992778301,0.9259087196836909,0.10847422176442408,0.1247558289216362,0.18621023676178472,0.17276848092237168
5,1.0,1.0925447771434496,0.8764615513378987,0.6654894532059598,1.0803220948731636,0.852754091059914,1.0191338311144953,0.909293680106548,1.0292875870162745,0.8872427913429555,1.0207259455538409,0.9106943961561599,0.1577728878510875,0.21082115371077173,0.2376008283798509,0.2238815612208716
6,1.0,1.172236163078765,0.8780770607132495,0.8212443343912962,1.1397924681793739,0.9028746075668931,1.1185852269087933,0.8957064012086537,1.1118639620863788,0.9022231519037709,1.1110302734037776,0.8798330328811054,0.19040080270838133,0.3006746525672555,0.3914650948291777,0.2471753459840987
7,1.0,1.1266633804808683,0.8484137722109985,0.8793663297551491,1.0858634644336522,0.9325980778613738,1.0931580119848143,0.9110137350159756,1.078797097754771,0.9336104464699115,1.0955269925783777,0.9087492562466637,0.3201041538842042,0.20326131781213075,0.29947535686429727,0.20411814461379585
8,1.0,1.429971928227967,0.8045801031078743,1.0848520546196045,1.393765114917795,0.8584859913921394,1.416576989445925,0.7977619846023436,1.4145764589319587,0.791821650952865,1.4144495932193026,0.781734533310192,0.44830226675472185,0.36064511010161815,0.371305424681088,0.37785657678714
9,1.0,1.1144362494712547,0.7809077895574446,0.6341215467401176,1.0358874300925334,0.8642343426802681,1.036021941793724,0.8649584903316304,1.0539356857382285,0.8633076920377697,1.035380049693195,0.8645411122780643,0.30187620277364857,0.2762437641535255,0.2558551993834858,0.32155203109034536
