,R2,EBZ Range,EBPA(0.3) Range,EBPA(0.4) Range,EBPA(0.5) Range
0,0.07540387578047891,0.28187724241069145,0.16955122710217296,0.2202404485029973,0.24626460293724994
1,0.03363771040435637,0.4581768929797798,0.572763793094568,0.5328863107874877,0.597026627044829
2,0.02623650466304961,0.2777206253938225,0.0004314309051838272,0.3112026197986332,0.3015932933858193
3,0.046506328192942314,0.16152643806835076,0.20474919966859928,0.1676273513678307,0.25251075490091657
4,0.03263828104170341,0.3246220922312405,0.27462465191115903,0.3776080819668747,0.38519710414029473
5,0.03650891771014997,0.19661664464294948,0.5979434767619313,0.5735478528741298,0.5730739980489274
6,0.04260958089312217,0.017363580493734876,0.13657230476271287,0.13610622885931145,0.17101465264147508
7,0.06871039797741119,0.5585964898479172,0.07953760500137874,0.018847316576917628,0.18011343765403076
8,0.035795732516049505,0.018045082097540854,0.5574051122273025,0.5546063685638196,0.5742370863774572
9,0.054250424366489525,3.739258253332434e-05,0.5908513837788593,0.5723090533777742,0.5997575806059176
10,0.17365154247430792,0.24281867783462063,0.2897690231163602,0.16842906907862587,0.1925849688380452
11,0.04788711311096272,0.529641582634087,0.5611536062788993,0.5598303997781457,0.5515994154734194
12,0.07291968692275475,0.4663842112043044,0.517488769058889,0.489353895648426,0.498197715267788
13,0.08823007082120582,0.3070324847949343,0.3030460430660771,0.35798049119610287,0.33922988839471613
14,0.10397814092722268,0.14727395544511712,0.17247306387814643,0.2060358671040572,0.18951132976106932
15,0.10673665208086824,0.04577975080197505,0.0020429418653771236,0.0283803898513304,9.9863045619486e-06
16,0.09015416794679898,0.4120837758482455,0.16705569910995566,0.18045760619936746,0.16207597261412698
17,0.06691466365828846,0.1884194488788229,0.22626746288303934,0.24192116676504782,0.2072448328452301
18,0.06440535505756095,0.15301034515765122,0.12221219568717423,0.2098210478334004,0.21201719105397554
19,0.09822786830284391,0.40488478865916033,0.4537492516228623,0.4529329620046251,0.4340161813747869
20,0.09558029277226643,0.33625950786362657,0.3785071034901967,0.00017899853831249146,0.3129000866484274
21,0.06322170059866172,0.5120985651514912,0.5352488822933041,0.13422753923952613,0.4938457002468415
22,0.08430631686581813,0.32256784277084194,0.013943866523827508,1.3023920640287123e-05,0.24754274484104988
23,0.0936055176445384,0.3764915692412326,0.4397755809390539,0.2547706446464656,0.03205756207249766
24,0.056452790481703374,0.2141869221105257,0.29534593270640275,0.25913832992461294,0.22355158150083376
25,0.05374952460581761,0.5097159365350296,0.4776037674803896,0.44586350391406326,1.5793970564503823e-05
26,0.08823190538123538,0.014406065307537075,0.45322497431228526,0.0024845374074814464,0.015159461389247064
27,0.0619008501184497,0.014263766618750506,0.5773338716673739,0.5307470061885398,0.3164787850198887
28,0.09723113513491688,0.36482414441979927,0.35045347893999923,0.0013953795409448189,0.01556106368567367
29,0.06922793128834914,0.5433940974710952,0.5659121491504495,0.3290188611603836,0.26587508055652653
30,0.04851505083526764,0.5978735837639305,0.5212663802945472,0.5827712470687352,0.501760629286761
31,0.03758959536483142,0.5080201710012152,0.5972415843970444,0.5996141723699321,0.5790851432779243
32,0.07097656963972987,0.31435661164987616,0.25873076226793834,0.3181747916588735,0.2607498143857041
