,SO,PO,True PO,EBZ,True EBZ,QUAN,True QUAN,EBPA(0.3),True EBPA(0.3),EBPA(0.4),True EBPA(0.4),EBPA(0.5),True EBPA(0.5),EBZ Range,EBPA(0.3) Range,EBPA(0.4) Range,EBPA(0.5) Range
0,1.0,1.011645328352336,0.9888919598249846,1.0081590388626858,0.983248866139704,0.9788705227753118,0.9458139444786465,0.99922572973473,0.9820793853873224,1.008159306453097,0.9832492766030261,1.0081589917505691,0.9832490746640372,0.5436443272335632,0.04150021848643974,0.3585887090390058,0.4264543692008759
1,1.0,1.0580732583684793,0.949473164904754,1.0127923685380262,0.9561123696695517,0.9561439500671072,0.9241520323244515,1.0126869274329886,0.9559678372342787,1.0121122530951505,0.9556946620581939,1.0129086868593138,0.9560654403042753,0.3180430670841194,0.2998433573137676,0.3270434655396537,0.3087880935715362
2,1.0,0.9707484909640357,0.8766858851427951,0.9324859510023141,0.9683104855859342,0.9549099575362457,0.880902276393891,0.9317850682387712,0.9689054461797845,0.9321265797683186,0.968618154516706,0.9320249128279703,0.9687056880824447,0.41692544004220666,0.296135026664889,0.3482433671902923,0.3800845104864029
3,1.0,1.1122038135618317,0.926450478849409,1.0805225959456664,0.9210639721516035,1.02089347049161,0.9190362034110972,1.0739225731035122,0.8815529107109874,1.077096752034964,0.9045782920497958,1.08051928215042,0.921070115019238,0.49727640750624824,0.3007806809221993,0.23291341753675363,0.47486335888831144
4,1.0,1.1719026740751097,0.9706406980804438,1.0818416711091996,0.9592807205650457,1.072584573218777,0.9712837222908178,1.1465536124224367,0.9648534229200982,1.148968737586824,0.9727937523850392,1.14688324402879,0.9660342079060786,0.3588151469290078,0.3006844496615613,0.29286948894440806,0.34805817150856866
5,1.0,1.0658940234592535,0.9150398727411968,1.0407819526562503,0.933996098997707,1.0256087582220903,0.9195342664685423,1.0408512966714991,0.9342213158191199,1.0409233486080423,0.9341659295471789,1.040523598885911,0.933081736417114,0.3578392395992641,0.3004284752503311,0.299134599051223,0.3259083481538485
6,1.0,1.0594354513212372,0.9413210194365759,1.0121857846289237,0.9394529822541029,0.9813653496199954,0.9232882736592805,1.0121372322624491,0.939407900895372,1.0124141232770556,0.9396101269371068,1.0122668781772093,0.9395042618335039,0.2777319342498042,0.23505697019961888,0.24946610062536295,0.2643315514569481
7,1.0,1.099081424624145,0.8774428902172505,1.0585128993520392,0.9411947398876606,1.0523383352726117,0.8708636352108601,1.039321860023216,0.966687751500143,1.039303550014725,0.9666863643254953,1.0393114866877329,0.9666875268085978,0.42269344439034384,0.25227817701463245,0.27762144625483076,0.2565597039758276
8,1.0,1.0364973979669323,0.9432937284593912,1.0253799017389007,0.9474033066590439,1.0163774562654646,0.9468874355467183,1.0234003181673432,0.9585030166249635,1.0235397643457511,0.9622912643165482,1.0235422299033432,0.962292141917908,0.48207584311611296,0.20421753375945295,0.29550229098825753,0.3268321930261971
9,1.0,0.9719383010123972,0.9060665190805723,0.9666221333991952,0.8671485623008837,0.9194940473876085,0.8909072105695263,0.9649904099067174,0.8747830947696418,0.9653233348834631,0.9148906001225715,0.9650347301413177,0.8752217099075545,0.4797003985078936,0.2993437872284702,0.0944288978004451,0.22019586159470433
10,1.0,1.0673622808257077,0.7628546167125497,0.9452431317981722,0.9521495645509154,1.0185308893738727,0.8707670359973416,0.9506662587452388,0.9540354461274306,0.9515776978528303,0.9505046947839524,0.9458618005799194,0.9526721008911625,0.20611031433402954,0.17205939240300555,0.1418944167320928,0.20998123507613986
