,SO,PO,True PO,CV,EBZ,True EBZ,CV EBZ,EBP,True EBP,CV EBP,EBPA,True EBPA,CV EBPA
0,1.0,1.4091621146591542,0.9155740382317,0.9666943122464215,1.3390306547802042,0.8295565095774515,1.2809832663266703,1.3390306547802042,0.8295565095774515,1.2809832663266703,1.3430619137063142,0.8396304910825383,1.2771801882559528
1,1.0,1.3255762211711177,0.9347164468976192,0.8900126212856713,1.2817390672698856,0.9509505469929482,1.1652021574671987,1.2817390672698856,0.9509505469929482,1.1652021574671987,1.283234867472132,0.951519645453947,1.1614758846251276
2,1.0,1.252777355902717,0.799723624506726,0.945465947730614,1.197433801134108,0.8285275817050639,1.0981377833763626,1.197433801134108,0.8285275817050639,1.0981377833763626,1.1912440871794612,0.8359668947696486,1.1035868877631423
3,1.0,1.329725293268854,0.8115092120924451,0.8213802552810218,1.215522434108525,0.8486211486015875,1.237849293699139,1.215522434108525,0.8486211486015875,1.237849293699139,1.2165842912558515,0.8537588558574257,1.234147462022494
4,1.0,1.3129827268588217,0.9335134154750955,0.9143039766441836,1.2262049520743854,0.9474007167266434,1.1602947968307427,1.2262049520743854,0.9474007167266434,1.1602947968307427,1.2230695144189996,0.9473491844963232,1.158839418679066
5,1.0,1.170024231085064,0.852796359554025,0.6800872481364143,1.1211408319729679,0.7936488856888861,1.010260909349064,1.1211408319729679,0.7936488856888861,1.010260909349064,1.1190235779753344,0.8007208012120319,1.0346142294479341
6,1.0,1.3043502400085907,0.7337273937479388,1.0383259682611539,1.2832779124531288,0.7976066657278654,1.214657932681367,1.2832779124531288,0.7976066657278654,1.214657932681367,1.2705187409795564,0.8197516877853791,1.223694614391167
7,1.0,1.3161029985772872,0.8449635905222308,0.646929942414244,1.1404646220210914,0.9426751036980304,1.0687358602628227,1.1404646220210914,0.9426751036980304,1.0687358602628227,1.1355436660986509,0.9462653241532794,1.0879451663773898
8,1.0,1.5137595349153536,0.7662045857084261,1.2640805427014408,1.4303541525126313,0.8134041775873789,1.404483260197486,1.4303541525126313,0.8134041775873789,1.404483260197486,1.4264033874301503,0.8138058753475828,1.4153915066735718
9,1.0,1.3843698276737668,0.8390073457486684,1.1516406031706337,1.358014426259108,0.8284623894821869,1.3554120747761862,1.358014426259108,0.8284623894821869,1.3554120747761862,1.3499511435694522,0.8140781987132213,1.3310205377591526
