,SO,PO,True PO,QUAN,True QUAN,EBZ,True EBZ,EBPA(0.3),True EBPA(0.3),EBPA(0.4),True EBPA(0.4),EBPA(0.5),True EBPA(0.5),EBZ Range,EBPA(0.3) Range,EBPA(0.4) Range,EBPA(0.5) Range
0,1.0,1.2260599955831286,0.8999111224017872,1.0824297006611536,0.9509070918112178,1.2074584291341526,0.9158767541732604,1.2146077470934802,0.9207779062578145,1.2068326194115413,0.9168208945169078,1.2066551502795557,0.916645723065167,4.889419565020795,3.148435493158964,3.9925910467151087,4.478182744787852
1,1.0,1.0267676564505517,0.9768089642303724,1.0020301417392057,0.9821496173791969,0.9830363067271126,0.9684530025202495,0.9824689335573057,0.967761977289957,0.975653162127763,0.9627876276185408,1.002318587684643,0.9687690254666516,2.2999684280561725,2.334417349558498,2.7754055091451675,2.6240343628930005
2,1.0,1.0936250827491545,0.941794138258671,1.004490504512389,0.9559732886173579,1.0917906245825881,0.9424128568031593,1.066453934754953,0.9622252546533937,1.0659611618962688,0.9618887813604573,1.0612739942879277,0.9749950245242315,2.3858228611664893,3.0280479378056326,3.7727620182630206,3.44376387600322
3,1.0,1.0361767369463895,0.9595933228660749,0.9605113764126548,0.9296771362827083,1.0154817412086015,0.9193677299334623,1.0159673374912177,0.9162959565206988,1.0151903443120147,0.9144468878424324,1.018034608905963,0.9215935855045321,3.9771664308903962,3.108825708473148,3.1862838483863682,3.1463858695687623
4,1.0,1.200809835765082,0.9593533182697745,1.07373045026524,0.9489803732443414,1.1842614422146123,0.9518114323783492,1.177914507347748,0.9334629856242175,1.1858771186933397,0.956307582111136,1.1843258969611496,0.9519020205256412,4.734902989840779,3.062399558596904,3.4652622845314145,4.7176721183019925
5,1.0,1.0876584906796014,0.9070490227763898,1.0484570107859272,0.9625163967440611,1.0653687612219318,0.9414844507426395,1.0655846640341848,0.9365438983747607,1.0608904792177363,0.9448164863479505,1.0623871211358455,0.9385350326804527,2.5344352896673077,2.2243972495968904,2.2342527247599753,1.9703891425944478
6,1.0,1.0540347874128801,0.9512478662409992,1.023043955356272,0.9650959392920883,1.025141227168132,0.9635805835909216,1.03967472124145,0.9517464658930178,1.0471837944827689,0.9710634465222051,1.0485855877829886,0.944605661697235,3.819888959575673,1.8244268589608188,1.8168101398578644,1.6202375142551069
7,1.0,1.1037670708935097,0.9083108490363859,1.0321922312105778,0.9551123341755189,1.077696481326305,0.947467034905034,1.0842146508811397,0.9476159638313457,1.0843016905349827,0.9475623542543208,1.0776858302716872,0.9472461959725521,4.889447809045091,2.894766958109387,2.74936641965507,4.846408883710881
8,1.0,1.0824841787975437,0.9002424910398255,0.9786405740505599,0.9088285265430645,1.0338710930290482,0.908393837690865,1.0390322162400383,0.9131026828629988,1.0367701095942223,0.9117579637696785,1.0375023138704438,0.9133952968988723,2.7358160097785307,3.0533899177643904,2.961805514597402,2.819563355326135
9,1.0,1.0417694986223025,0.9650527134018225,1.0179616846767536,0.9881609382469931,1.0191917012661025,0.9612251885654859,1.0185908724025463,0.962070095325523,1.0186083298551494,0.9620897658387333,1.019032416783657,0.961945258563699,3.683341757088527,3.0004790278529647,3.44592116271776,3.538512779790875
