,0
0,1.0
1,1.006411117922436
2,0.993385239344986
3,0.99199215823227
4,0.9839134574765538
5,0.99199215823227
6,0.984064788727935
7,1.0
8,1.0064111180183999
9,0.9933853361655498
10,0.9919921584203628
11,0.9743266753533356
12,0.9919921584203628
13,0.9784544954303216
14,1.0
15,1.0060037278951188
16,0.9942327724943861
17,0.9926117270937074
18,0.9841368924462551
19,0.9926117270937074
20,0.9841342185074815
21,3.6039375185966493
22,3.6582339358329774
23,5.131651096343994
24,3.387497947216034
25,3.401701576709747
26,3.793669352531433
