,0
0,1.0
1,1.0062079702468336
2,0.9957962207948766
3,0.9960577552540839
4,0.9877608493020419
5,0.9960577552540839
6,0.9878010957064496
7,1.0
8,1.0062079704772957
9,0.9957962062618918
10,0.9960577555866991
11,0.987560603091955
12,0.9960577555866991
13,0.9876115322190825
14,1.0
15,1.0059835848555705
16,0.9962453114052323
17,0.9966271857415306
18,0.9893777142389301
19,0.9966271857415306
20,0.9893677963495745
21,1.4568228650093078
22,1.4962679481506347
23,2.1363284683227537
24,1.3710048413276672
25,1.3706424975395202
26,1.6205883431434631
