,0
0,1.0
1,1.009357774918084
2,0.9919728216360872
3,0.9910396303295496
4,0.9796066033189375
5,0.9910396303295496
6,0.9795580109783236
7,1.0
8,1.0093577752700342
9,0.9919728317627117
10,0.9910396307057125
11,0.9246688804745554
12,0.9910396307057125
13,0.9236113706399852
14,1.0
15,1.0086725168511976
16,0.9931999719891411
17,0.991665763471145
18,0.9808781138468434
19,0.991665763471145
20,0.9808108380829479
21,7.699236147403717
22,7.607482769489288
23,10.713419480323791
24,7.246133110523224
25,7.21184093952179
26,7.9056064939498905
