,EBZ,EBPA(0.3),EBPA(0.35),EBPA(0.40),EBPA(0.45),EBPA(0.50)
10,"[0.48498231362694577, 0.4124454693978993, 0.5430461327405527, 0.40613203481726023, 0.44268028791474046]","[0.17424991812726043, 0.4004387818317564, 0.1640888414740005, 0.13553558246146946, 0.2333399294736883]","[0.2885155140503465, 0.40070066633013546, 0.16208238939148645, 0.14710160499564895, 0.19281992199139664]","[0.1952129216098476, 0.3801749768781777, 0.1718521813279983, 0.1429644309747662, 0.2238286409171777]","[0.37184286580034887, 0.4131452666175426, 0.19569505328375691, 0.3180372530093911, 0.371483986747694]","[0.4550358128710136, 0.43489474312420406, 0.49585617170993246, 0.3639406566117398, 0.38282648534186003]"
11,"[0.5834833170159411, 0.546976215596352, 0.29590890529755765, 0.49465938520901376, 0.5777351712729162]","[0.03972187767337365, 0.1581003474546243, 0.24461804703577172, 0.28344820026502193, 0.2007043802542151]","[0.3677676894305011, 0.3477699223029158, 0.2805129143204559, 0.3070064685698598, 0.40618452892501566]","[0.4313857213665979, 0.4186004525122252, 0.27451197905191926, 0.3302009011725926, 0.4221338117185206]","[0.4696892102548603, 0.4899250109630148, 0.2795301388233188, 0.412138094719523, 0.454169275953224]","[0.4976691905577735, 0.5015710596035581, 0.2946931688439154, 0.4518306236064995, 0.5161691867058741]"
12,"[0.5800358064824974, 0.5999874356571655, 0.5652374577694963, 0.5749763149433326, 0.5891688475959145]","[0.255005821171274, 0.10151684435686559, 0.1649225431551341, 0.09242735727525186, 0.12654483396136218]","[0.23557063556164082, 0.0996884889110008, 0.1647507661844183, 0.08005529712534043, 0.12766305926589283]","[0.25361944731672326, 0.10944841044790532, 0.17922820174979504, 0.18326370125059244, 0.12501924256027508]","[0.17490862690280973, 0.09157082411022899, 0.14462479759089208, 0.09391651262506184, 0.12706281507575645]","[0.33792213258066583, 0.11326817620671437, 0.18949854691825818, 0.24371833171699664, 0.13673713491960515]"
13,"[0.5376234486125786, 0.48808584149900613, 0.5799542799754416, 0.5838981368423446, 0.5785969883967541]","[0.0005358735530494041, 0.0024950656662448, 1.7811270850431882e-06, 0.029617477104962098, 0.30777220428066476]","[0.09090781866553577, 1.0840713497217713e-05, 6.185666325597694e-06, 0.005294467174266626, 0.1043196710024975]","[0.12085463363523385, 1.7117239736741396e-08, 0.01892200906347663, 0.29135832548702467, 0.2951980706022007]","[0.42513314181077533, 0.4090733676907523, 0.4599075146966396, 0.4612779535862075, 0.48549443980829243]","[0.48566072570262353, 0.33353050973670084, 0.5547594775791531, 0.536103664759684, 0.5280137303879353]"
14,"[0.49351427698260864, 0.5633267388900246, 0.5280289116031899, 0.5673565306750011, 0.5854599585929373]","[0.3243466909623086, 0.12708245251308115, 0.15595644831340805, 0.04202710184699798, 0.17806321897158062]","[0.3985257560876333, 0.14900650273190907, 0.5563969319449181, 0.045167323728380615, 0.16792320794821325]","[0.34487657293197205, 0.173099582301108, 0.35587649570637403, 0.34728569062034875, 0.3479566411356604]","[0.3940338474156275, 0.4087300028523506, 0.3807489339247314, 0.39269368416766737, 0.4422441596607478]","[0.4139232536741677, 0.45783853290939447, 0.44244549373276343, 0.45716969670885077, 0.47778585208316804]"
15,"[0.3020189108514, 0.5610420094598954, 0.583730918839163, 0.20208761047341373, 0.3333662624527546]","[0.2625791129095655, 0.09178760772904493, 0.20817806907255265, 0.15881319135042438, 0.007877352565978657]","[0.28506559370716344, 0.17080500741148164, 0.2975568704632806, 0.18628988273948288, 0.12845090317979824]","[0.2441362095766817, 0.4934719685958273, 0.3046650343142361, 0.2053604284066598, 0.3474360819530151]","[0.2508549086062001, 0.11271108768847038, 0.2279473567198409, 0.1744124982537465, 7.3641838211901955e-06]","[0.13342775832917808, 0.10623757794471478, 0.3283330659713769, 0.14351042499330535, 0.001297187412220735]"
16,"[0.4904479551839941, 0.3454567402406574, 0.5777090222890047, 0.5613931470967733, 0.5450765368741395]","[0.16261790055630643, 0.2917865480160202, 0.009230651024837555, 0.10969830754009136, 5.110355701831715e-06]","[0.1023829781117157, 0.28666173984518784, 1.235567763657741e-07, 0.07119333099321223, 0.10110374444256265]","[0.1420584546826852, 0.3538863058823558, 8.288526648136951e-06, 0.07520084117414894, 0.025063957961898087]","[0.1944561589707634, 0.3767593214704431, 0.3523645367242436, 0.0842162408985292, 0.512699967113664]","[0.40395680336785844, 0.3196426313161893, 0.4761138385720425, 0.49155648903573623, 0.4829219867407939]"
17,"[0.5992300688650346, 0.4677454417115322, 0.5999977813128533, 0.38752190331447156, 0.5999378692436094]","[0.6, 0.00553380263046388, 0.5688881340032189, 7.971506336246215e-06, 0.3512992248052935]","[0.39236289551904313, 7.36617213181745e-06, 0.4021012626937318, 0.3853095374903046, 0.5814329617500873]","[0.4016695970726053, 5.897779766783628e-07, 0.5999892153795964, 0.3980228076115806, 0.5999864064503286]","[0.5984516630804922, 0.08270908894178952, 0.5889138776204527, 0.3837158554030301, 0.594476251176459]","[0.5985530884670328, 0.4654461504151137, 0.5358297353328558, 0.3093196297609787, 0.5939471023661097]"
18,"[0.5942155607056113, 0.5914808687990327, 0.5786861402919627, 0.5624863025445002, 0.5832471116025242]","[1.5735007153683256e-05, 0.31327304824532176, 0.0005107619533820662, 0.0007466892962577631, 0.007863912012669005]","[1.6153140194319349e-06, 0.3347878813395909, 4.214528221979652e-05, 0.04239884478868572, 0.09224778815885015]","[0.03815371620621, 0.28538778725789626, 2.855076021157643e-06, 7.206078311838837e-07, 0.32278053496558845]","[0.4122776663883364, 0.328327362431698, 0.4868120977354199, 0.41269834783931836, 0.43100127113002673]","[0.019375008688581774, 0.24472956421547332, 4.772738095959461e-06, 0.1404518467649195, 1.4873143205917927e-07]"
19,"[0.5693572526415761, 0.5768836707791118, 0.55469187915177, 0.5245732714144691, 0.5061827214621806]","[0.34302251406626505, 0.4972777764457754, 0.16266969077623494, 0.2650622039191781, 0.2268317414915454]","[0.3698905224098056, 0.4542362093030414, 0.16268988430893538, 0.3761232546740081, 0.38649946841755833]","[0.5820702436925754, 0.256210339349339, 0.18492442533221565, 0.48806555949062036, 0.34250198097285545]","[0.3366021567177523, 0.4039186314491606, 0.370376745380819, 0.3360680865034922, 0.33787605149273514]","[0.3707576624117034, 0.3822390939548631, 0.42771695514610963, 0.3233042791163414, 0.351632260030307]"
