,EBZ,EBPA(0.3),EBPA(0.35),EBPA(0.40),EBPA(0.45),EBPA(0.50)
40,"[0.5636048419214219, 0.580614200377058, 0.5867819537663549, 0.5852342706571574, 0.5883258970585072]","[0.06695054550903756, 0.0567641840252443, 0.13018002217766278, 0.19338733887825543, 0.2747303800759785]","[0.26572450277632054, 0.30569370888646463, 0.14135371080789993, 0.4349030962555308, 0.2894060446517519]","[0.33575652645546816, 0.3854001014130206, 0.4136556824661498, 0.41823065402951765, 0.39493074160868114]","[0.4038806034670315, 0.4301486973190234, 0.43123075384166043, 0.46847695121987565, 0.42235398177327144]","[0.47129547745132616, 0.4639265338725118, 0.5134039973588427, 0.4976809706981197, 0.48109427583734155]"
41,"[0.3678326914504454, 0.518238009609847, 0.5341442151834438, 0.5727934077077824, 0.38987958720832583]","[0.0458238951563793, 0.12277655321178027, 0.25985748700927036, 0.5252550621193367, 0.06483422178891007]","[0.10088587696892848, 0.11511068215225406, 0.2568366901616588, 0.526635665457496, 0.11944411615578665]","[0.026924903349849538, 0.11987071911465663, 0.2686657524845104, 0.5419316130609546, 0.14215949021279006]","[0.12540960618376717, 0.13752130866082468, 0.2772979872967126, 0.5473679186070308, 0.1482282254142877]","[0.10745768697546998, 0.13314609858030846, 0.27857934634369785, 0.5427798442547791, 0.11532816978696225]"
42,"[0.5541892947441646, 0.598474694089608, 0.5872711434871798, 0.5509691655339777, 0.5937418934012514]","[0.05292152165000985, 0.08277148715944138, 1.4596680752987368e-08, 0.10763776707445571, 0.16071156728421776]","[0.05997667593500444, 0.07912239548688837, 4.6548759280451435e-07, 0.1116608795503441, 0.0732150493450332]","[0.05496324918663387, 0.06478745593161639, 6.660958589144172e-07, 0.105959830808658, 0.17902055261866368]","[0.41576375196074034, 0.4164352277407456, 0.40952583057570213, 0.4094499614081818, 0.4432658114168191]","[0.4615048419779042, 0.4998447247732437, 0.4534956422062195, 0.46192819069243185, 0.49647281646841634]"
43,"[0.46448195029592965, 0.32456095276326, 0.3085371921463792, 0.374188817793048, 0.2838403415538495]","[0.37052351562935515, 0.25647186511621445, 0.26943004295800277, 0.3358499563555093, 0.2670877393643456]","[0.3843341814718608, 0.2895681922283527, 0.2793451393394141, 0.34592066322677506, 0.2657502658774773]","[0.43555569957343065, 0.29710180398169683, 0.28029966400196593, 0.35202774862390684, 0.26983067829725016]","[0.40678059439695424, 0.2839316819062989, 0.2741349523929284, 0.34321564636354984, 0.2679673443701961]","[0.4377122914748204, 0.29828635218739696, 0.28413769054531757, 0.3511714494039998, 0.2714741905400543]"
44,"[0.5714454347835768, 0.5795575578447844, 0.5436676912588201, 0.5797604420628084, 0.5811207045877281]","[0.20866948932707963, 0.31753722566289955, 0.3957747409843151, 0.3640129552332725, 0.21385283812992162]","[0.1984588000939015, 0.31181440243640834, 0.36405125817366724, 0.35563859490809546, 0.2043704264402505]","[0.2001314038588694, 0.3010349651492147, 0.30685247590487563, 0.12415395119752581, 0.2047390714431756]","[0.2145525096912273, 0.3331436748369482, 0.4332137621640124, 0.40272237412150613, 0.2154588932834508]","[0.19811520029279595, 0.31429139888276236, 0.3219106345202877, 0.3610221428783891, 0.2114921010087878]"
45,"[0.3806304158739384, 0.4399679851623849, 0.37649546187869054, 0.5739261106683445, 0.31018824845018345]","[0.18751381166957704, 0.30491305281975456, 0.28722201099694267, 0.3209996236839444, 0.29653892996297637]","[0.032195708876106455, 0.14915468920189534, 0.3181447188505915, 0.31114328887972975, 0.28088361756394065]","[0.16673324723971483, 0.19999969942374385, 0.2955284663632407, 0.32493527721322946, 0.2912453753987694]","[0.16507979692580899, 0.24814176624603912, 0.31217623416616236, 0.3186269266969112, 0.2847894285774826]","[0.27481647270397136, 0.37300766770626637, 0.3172796712399685, 0.31981653608092653, 0.2894243810352335]"
46,"[0.26158764672510526, 0.3476384573922603, 0.5027339081008448, 0.4281549779737023, 0.2702822747713597]","[0.27125598703657794, 0.35441946063398777, 0.3686693870918697, 0.19676181004504223, 0.27974615462061114]","[0.2722483645641738, 0.347947093524164, 0.42783826928470736, 0.2510345491563476, 0.28452686946147376]","[0.261176559986422, 0.33964498139530275, 0.3719093612005685, 0.28075948729642697, 0.28093902613818134]","[0.31192779161021145, 0.33355605423501467, 0.46337649310745155, 0.3201117538774909, 0.30326091239415565]","[0.2934296538575084, 0.3482521856186247, 0.402092372394076, 0.37050800136277606, 0.28697319745662764]"
47,"[0.5895782974533603, 0.5698685473489629, 0.42376529092702875, 0.5931686418558433, 0.45690607859795096]","[0.1130257620247378, 0.2577280928732585, 0.3986444925618987, 0.05109007740644156, 0.17926893893635854]","[0.11535109208454741, 0.2629472781134362, 0.4020530666945542, 0.06925767682530859, 0.08563014125064117]","[0.12129973819601547, 0.2673375551175694, 0.39848135344552194, 0.07103417581580851, 0.12463243320126527]","[0.09379706895630446, 0.25145302652323664, 0.40070758395897466, 0.07245844053147499, 0.351833238109183]","[0.38364662185252574, 0.42401913393270185, 0.41403005965585626, 0.45547615704703914, 0.35932725509412433]"
48,"[0.4610969612963517, 0.4600736335178115, 0.5741844483707438, 0.4768751126582319, 0.22776067681602163]","[0.29263310288823896, 0.203241624626182, 0.1535229710225755, 0.23122326890999323, 0.19168419686565563]","[0.2953542381957146, 0.16285458670276698, 0.13756914125120168, 0.22233156582783486, 0.18852209151164256]","[0.20437141688213933, 0.20797189522033677, 0.14039864245697453, 0.21818693400967837, 0.19218391536436252]","[0.19045486706388925, 0.21235335562861535, 0.09012851320974125, 0.22281647074282485, 0.18168011447511867]","[0.38879497343959024, 0.3762287078402091, 0.41977770803115877, 0.25285924434562423, 0.1948301782108105]"
49,"[0.5121416440095183, 0.57125804951022, 0.44034972793259297, 0.5851249935494862, 0.5693691434860425]","[0.39807800304697216, 0.07269931286213394, 0.38162186973015755, 0.27187062369171444, 0.2123815102391241]","[0.40154454376881443, 0.27843663889242576, 0.40782216848636366, 0.2806642770032678, 0.2129543464414395]","[0.433451533097715, 0.38612667642282317, 0.4246300816208004, 0.3027259342079661, 0.4257138584188681]","[0.40147984438343987, 0.06335554285661138, 0.33811619127013315, 0.2398482767120782, 0.22006412017611077]","[0.5065367198794306, 0.4910331493624138, 0.43430076639369064, 0.5231059755945269, 0.5293511172014334]"
50,"[0.16230397393401297, 0.5267115329589536, 0.3783372740588171, 0.507884277705049, 0.5800604576511985]","[0.06902203620009206, 0.018735975356370282, 0.23854466038308042, 1.8456825179313796e-08, 0.4936198067203813]","[0.03164546436265303, 0.3882794422270962, 0.25913786048398335, 2.46958783423068e-08, 0.35461750319745355]","[0.14562711444772558, 0.39876538746726575, 0.3578147895722128, 0.39814359334964966, 0.5554124019398766]","[0.1459236061521385, 0.43374940470291945, 0.36509123224723306, 0.46893151808323863, 0.5662165921275439]","[0.1546435407831276, 0.4633143176172594, 0.37859838673113355, 0.49997787271851957, 0.5736635442948227]"
51,"[0.5988304618337189, 0.5970670087299452, 0.5943000409535331, 0.5992226582915775, 0.5951739487385521]","[0.20613739772128903, 0.35150294875752186, 0.3135691947626986, 0.3340495675383114, 0.2745580829374463]","[0.24424041944433017, 0.4479920468774664, 0.4098460926948816, 0.34428753627874387, 0.304050444906092]","[0.21980803284772, 0.34974517352866374, 0.36557333214061427, 0.425565735141619, 0.2857216605067827]","[0.23546985489031247, 0.4308057493162454, 0.3694764384360678, 0.32743699941349835, 0.283531509317293]","[0.4645297292232957, 0.46306920736374324, 0.4862581739377174, 0.46165035481839556, 0.49234619445507666]"
52,"[0.5957138438003093, 0.5957138438003093, 0.5957138438003093, 0.5957138438003098, 0.5957138438003093]","[0.03527140092366432, 0.23837606570937842, 0.23268632958755786, 0.3891092572398297, 0.5999882120531143]","[0.012914415157520898, 0.5356459888282757, 1.4324110683805458e-05, 0.5999912226020488, 0.599999999999985]","[0.31114560680680803, 1.8113886168791282e-08, 0.55983308480944, 0.49015013676370545, 0.5999871550555751]","[0.1844236396564216, 0.3907536191004949, 0.47552494171680304, 0.5999986777464739, 0.599895254923296]","[0.3222482818473623, 0.4346746214394046, 0.5432479380363624, 0.5999993009590051, 0.5999920131296315]"
53,"[0.5513718317724248, 0.49445280761391563, 0.5447512206425957, 0.5077245308486583, 0.40944569919172114]","[0.4086218904893517, 0.12797523375365816, 0.3129629847625325, 0.25372228416123144, 0.2630682162733292]","[0.39749653150913966, 0.13755740223211577, 0.34469170277038264, 0.2675730767165727, 0.38061894166075183]","[0.40194506153596665, 0.14918434824017746, 0.38186387705807767, 0.26132398683915614, 0.31157929311485855]","[0.41434215132644003, 0.13544076411660866, 0.34196150400510705, 0.269003440837576, 0.28887834784443167]","[0.5029084622318409, 0.45456876067316154, 0.49094230016811424, 0.46389554378231046, 0.3915311132466942]"
54,"[0.5155793705866931, 0.45647315619219075, 0.591237439718096, 0.5388969798045017, 0.5542009846001489]","[0.4563877866511221, 0.46180089107726197, 0.1898403839155851, 0.14334759934328534, 0.2493795520622072]","[0.4846098700952072, 0.4971442804037942, 0.3099030485116364, 0.21293849124140096, 0.24642603162347876]","[0.508792929756775, 0.4709110503711359, 0.35888656269692876, 0.210365776856694, 0.24417009262830403]","[0.5171013804837419, 0.5036928155117145, 0.48700257075395115, 0.22749774749076512, 0.24532393079670367]","[0.5087278418603939, 0.45155319607707933, 0.5118316456477552, 0.4968682942035634, 0.5065729378584743]"
55,"[0.591286508528145, 0.5906362261212385, 0.5815782455314793, 0.5453699940145426, 0.5830709350927258]","[0.3057337582323413, 0.19644819404244906, 1.728497334152479e-08, 0.06791366250108499, 0.18117440853862055]","[0.24578111816291204, 0.21417288949365076, 0.26436277490371585, 0.08131767551154878, 0.37804359068618576]","[0.37395560528728444, 0.2855894139657956, 0.32845615518236826, 0.08384824403392399, 0.44282672977939197]","[0.22410576162888574, 0.16476236130536215, 0.12679266039472725, 0.08040252394447067, 0.2667952067988437]","[0.1894255636429879, 0.1767239898379085, 0.09932231291859495, 0.27084835278608066, 0.1911484023936374]"
56,"[0.5735171484623915, 0.5471210002635598, 0.5853417693035396, 0.593100262558961, 0.5537918017904375]","[0.04822703433104525, 0.00020538845518769389, 0.09702506364787145, 0.09088859500985924, 2.752445470644016e-05]","[0.3537995441161187, 0.1347346987370973, 0.16251445341415938, 0.40901867050573015, 0.12906049636970685]","[0.2232261457437067, 0.5664057259076684, 0.172746964582981, 0.3585843737788833, 0.09541814802915816]","[0.26019487185446954, 0.217923667171522, 0.4130133378180544, 0.3317739336318808, 0.09022732098029695]","[2.743745428279709e-05, 0.0001440591581709505, 0.14944866807397283, 0.15055811907640948, 0.12743991399179933]"
57,"[0.5802993152066577, 0.5683970113542886, 0.5922915236868277, 0.542642940153577, 0.5962213184426577]","[4.2502184700587975e-06, 8.272721929714066e-08, 0.47360350350476854, 0.2594016841153789, 0.44873926445336576]","[0.15815959288050652, 0.23742969079325826, 0.2307197255035628, 0.24170613118262751, 0.35607124445338534]","[0.23297894343781933, 0.13414197616805124, 0.14520169478075728, 0.25524676523976975, 0.3123088335748734]","[0.22163660797756612, 0.24831231381323982, 0.2014517223009643, 0.23150700548360192, 0.27313045965736626]","[0.5051188821460709, 0.4656138645094442, 0.49459069244855447, 0.47627870311518383, 0.5180802623819163]"
58,"[0.5442665066482362, 0.49066805090341137, 0.48964080351809036, 0.45722498592101335, 0.5639802565872863]","[0.3073674003200688, 0.40130941542043186, 0.16452696630960784, 0.09453287012592515, 0.33393893614541237]","[0.3068358888710576, 0.3633479852017646, 0.15670795223808542, 0.27880603843145413, 0.313869925910523]","[0.21425212470688448, 0.32187360686627686, 0.5708883197649023, 0.33602957905096065, 0.41162958904107505]","[0.3850830293287504, 0.3312059171314221, 0.34139933878918927, 0.3069130899314171, 0.3561850214524085]","[0.4809466891271925, 0.43062558067133516, 0.4761493112202485, 0.3488797516896732, 0.43440352979352437]"
59,"[0.581495920219793, 0.584494797065934, 0.5723766453506658, 0.5696586903815504, 0.5661437887070265]","[8.559971756305629e-06, 3.708377862565726e-07, 0.20524402207234305, 0.5538874928612658, 0.4559982406165036]","[0.3229228310420942, 0.3158938828307203, 0.3399265210778213, 0.37535997430903445, 0.3591803661825921]","[0.3616425145860338, 0.34726422371689913, 0.36621450582112314, 0.33054900671836973, 0.3513834235258062]","[0.3525778332211409, 0.40051237062507106, 0.4479440474260715, 0.5049148659271803, 0.32861770485278263]","[0.5045959407448306, 0.4710933775028796, 0.5103680703986071, 0.502322030610227, 0.4724152315752419]"
60,"[0.5785117254401673, 0.5559157055635185, 0.5844125315296429, 0.5562227197180366, 0.5745139482281418]","[0.11602262855704815, 0.2235368670193868, 0.15562379429590512, 0.04538873467128268, 0.28869378367800036]","[0.28231707914225657, 0.32996422418463045, 0.35162012989080726, 0.3551610553957314, 0.4307745239776837]","[0.2926184341247845, 0.29204946036481494, 0.4972229064098376, 0.34506514133672406, 0.41948206818599554]","[0.4320106631649533, 0.38969670444689164, 0.44784674085223974, 0.425455948796986, 0.4632559223956818]","[0.4698690584666181, 0.4591973225580799, 0.4902351040286199, 0.43200266964398215, 0.5113720352749657]"
61,"[0.5289161484875076, 0.46944147921882473, 0.5998235294710645, 0.5030297758296174, 0.5849534178175748]","[0.2191117589589694, 0.4264451817313496, 1.2577542178981993e-05, 0.34896300839834227, 5.235953191018439e-06]","[0.2648765178080872, 0.4320525231608979, 0.31678516973117843, 0.3426434384233097, 0.3207424326274937]","[0.2701312731710752, 0.4381933618960101, 0.353970420023736, 0.3474925136234931, 0.35112554401759444]","[0.3960033336344623, 0.4418967910192504, 0.4082051395140368, 0.3421204390832253, 0.34936250061948415]","[0.5017045693868057, 0.4594043006098386, 0.4948985565238194, 0.5425034753829123, 0.5009513914705923]"
62,"[0.5568158800794651, 0.4215317314224285, 0.5917325824956485, 0.5814521460338616, 0.5633394611780256]","[0.1798526963880256, 0.31613022038698213, 0.16768004509406453, 0.1784486653769778, 0.07145471510094492]","[0.3393172035898335, 0.37954742339547287, 0.3164065490103213, 0.37919553463498257, 0.27602889129949937]","[0.39048947470207906, 0.3921693650755598, 0.43638656852772617, 0.3860957690380118, 0.320230708089675]","[0.4540857444501145, 0.4013172947854149, 0.44261681443243484, 0.4901173307762309, 0.45288048282819005]","[0.4704044837725637, 0.40669713831948295, 0.5045149055757725, 0.5087596569461788, 0.47967139050737173]"
63,"[0.5589815257269763, 0.5912117810523234, 0.5872943356014055, 0.5895524717961114, 0.565439340651088]","[0.1519801448076562, 0.17864536425430888, 0.24128439864893103, 0.297166457979103, 0.19654628064174418]","[0.14835347262951237, 0.18255885451710208, 0.260583755699058, 0.28732811700518146, 0.20369515934155324]","[0.1586898953962429, 0.1866314146159378, 0.23448023414078656, 0.30015649620902574, 0.20462930011089087]","[0.17598205462808514, 0.19661778273748676, 0.2853811598392597, 0.29397083949059466, 0.22658940574001907]","[0.16965553207221018, 0.19082904914943766, 0.33184056312973587, 0.3825263716554089, 0.3111740818014599]"
64,"[0.34723388478705597, 0.4449744823163505, 0.5107962293054457, 0.5765003896435832, 0.4344319641489982]","[0.21715214105610325, 0.37315457886746484, 0.22667131539264984, 0.5289503633787798, 0.1511076938831981]","[0.29531157020621523, 0.41934121687701753, 0.2413659435461929, 0.5501704061842658, 0.22149707092164805]","[0.27111264662550705, 0.3894986305788497, 0.23943872170173242, 0.5295323653703724, 0.26656500201419764]","[0.33087056504535794, 0.43434910007878014, 0.4831709727374667, 0.5678321516781375, 0.3291683659852934]","[0.3373702821002921, 0.43580609353781374, 0.46480058900176124, 0.5706701833805857, 0.3767113919434696]"
65,"[0.548559715977557, 0.4404090049807038, 0.5486842094016614, 0.5627953783346511, 0.5870100678943371]","[0.3926155093218492, 0.40370140012835587, 0.14159939577942415, 0.19860458943985726, 0.36500195291556736]","[0.30525166062670084, 0.4050536005984072, 0.14559807740124064, 0.3452725926878537, 0.4438979535404376]","[0.3181639499809714, 0.39042816414649384, 0.11925147471461184, 0.3224563277915239, 0.3998902070587247]","[0.4551423728739822, 0.4203787659776749, 0.42082185801884264, 0.4594423465944054, 0.48709863417946697]","[0.4893077187940432, 0.43113854263069207, 0.5078971287124503, 0.5155452527430605, 0.527444137714945]"
66,"[0.5297423488749828, 0.5518537116476523, 0.5694973790805451, 0.36788470223594893, 0.5559344606596498]","[0.21973387093582442, 0.3223090287772903, 0.33219904359165586, 0.279074113563781, 0.24295971682198048]","[0.1939583561980145, 0.2283367939300034, 0.2899189238856068, 0.2748925278224392, 0.22526910361986985]","[0.4135555191056469, 0.3702862009339729, 0.4324236222199517, 0.3420134161095042, 0.40628124992265524]","[0.41581654245392896, 0.4574810373874023, 0.4909259179269354, 0.35551834002129656, 0.46163998904545467]","[0.5187050145207127, 0.5177577462220031, 0.5294470904235594, 0.3656382527857269, 0.5155218193451923]"
67,"[0.5691068279806257, 0.566801360739337, 0.5593181086342712, 0.5860218452606614, 0.585257868192016]","[0.05009232052524437, 0.041386782805189815, 0.25158759947718035, 0.2794599752846929, 0.1540635972777905]","[0.2674777357968323, 0.270594010278139, 0.3398041836923764, 0.4088119169173138, 0.3679111266135636]","[0.299598783347399, 0.34335846818902915, 0.3957726172163919, 0.4130705149703149, 0.37849139821872335]","[0.37040630657520845, 0.40999360380225225, 0.4168047829360233, 0.4891405882283958, 0.4278558166337506]","[0.4626747354712233, 0.48229304610109025, 0.46928551439295163, 0.5015509859438678, 0.49527981626790407]"
68,"[0.4824011690975476, 0.5707595433780995, 0.46829686681461524, 0.1558586550178257, 0.5275884301157298]","[0.3473371376338006, 0.38677500809158405, 0.10347705855536216, 0.15818178005032213, 0.23529333635249694]","[0.4158908748092479, 0.5157868203338041, 0.09902201957397128, 0.1626202795109919, 0.3892718818786908]","[0.43416934446693334, 0.43065652181638114, 0.3961166926128139, 0.1549101189453026, 0.4640948834526162]","[0.4606729303298819, 0.48046682623544246, 0.44630895739482224, 0.15701171618535747, 0.4785799503439032]","[0.501800245957802, 0.4848632300440314, 0.5072815078621774, 0.15641104614788626, 0.4712349363423314]"
69,"[0.5828275451494056, 0.5630093241277219, 0.5683565540586938, 0.4171146890222571, 0.576323599910414]","[0.2443263878166172, 0.27416822033139676, 0.16982121504520087, 0.39396160385061485, 0.3432863513895159]","[0.2644212664114495, 0.2812332393694008, 0.17418054515182624, 0.4004991151380153, 0.34541798989431716]","[0.25151105404836904, 0.27390785507522386, 0.1700385447921241, 0.39513290803332346, 0.34657979580238074]","[0.25639876115191285, 0.27732574113110897, 0.16573840314128274, 0.3875698010732408, 0.345519107945669]","[0.49113847829627855, 0.5263935813716305, 0.5026621641269066, 0.4167821316577137, 0.5199540079782248]"
70,"[0.5559851456953706, 0.5316512335795552, 0.5435809676265294, 0.5873730977188228, 0.45563161241820127]","[3.203284004715812e-08, 0.14224954701997794, 0.16759013341409845, 0.20254408183663675, 0.22873070845791665]","[4.282158849733264e-09, 0.22693687131602658, 0.1484733748308109, 0.20330829406882167, 0.37897187495637175]","[8.474738554253847e-07, 0.12028926182228983, 0.1635111882730671, 0.18189874513172466, 0.07468076704483784]","[6.223203388389109e-05, 0.18561665809268724, 0.18777159542869426, 0.23717097319103164, 2.072498858862737e-06]","[0.45642851994224654, 0.43258771194629164, 0.4672561839893973, 0.4862902020974814, 0.36602749003247237]"
71,"[0.5804929822076701, 0.5410674557470099, 0.3233470082303809, 0.5231832920256129, 0.5453504500340541]","[0.46058261546964807, 0.1397146292479866, 0.22276042334141477, 0.44629626580620096, 0.048187241022929594]","[0.4720670101359148, 0.14613580212148625, 0.2383941872730434, 0.44484881756369965, 0.057925168777806735]","[0.5295934706975463, 0.3696701729658579, 0.26137584429200045, 0.48735381872727246, 0.352354716077696]","[0.5640912526220132, 0.4375476829886963, 0.30084841002923846, 0.5011353755950646, 0.445511347445408]","[0.5756058050347506, 0.535587471614095, 0.3133749059339538, 0.5165583926702549, 0.5325143663767422]"
72,"[0.5995197160013077, 0.5767834366776045, 0.5874416587500728, 0.5828880047526465, 0.46639394270932144]","[0.057261555956863885, 0.06300402355076984, 0.11529813136122047, 0.054775704710687934, 0.15921542611162065]","[0.04986265400586509, 0.09130141178105544, 0.1286681044982806, 0.051222418126696145, 0.1663085112999817]","[0.05197160208757856, 0.006610716025475916, 0.13257757019685157, 0.05480372245324283, 0.19528921953453038]","[0.04169394975329377, 0.18912721038346314, 0.051968003078072145, 0.04775332089852036, 0.2134394772472017]","[0.05600060505083815, 0.1835779298615643, 0.1550492130034592, 0.29467094024374907, 0.20463118685640114]"
73,"[0.5582668587631434, 0.5934787662425222, 0.5831062778288782, 0.5695686381369371, 0.5443823309255741]","[0.19501284539704078, 0.34810753897274593, 0.3792565367437555, 0.3975311992216667, 0.15652867416264094]","[0.21755607687359668, 0.35300101766946057, 0.3643462783327156, 0.39923126718660673, 0.14774138363333678]","[0.31276933400524265, 0.37075495503448364, 0.3954216457131755, 0.43588075317614117, 0.34365912948999144]","[0.4310958615780992, 0.42983398418462215, 0.4803689478563561, 0.49714387230552315, 0.4041838997239652]","[0.48781066198793976, 0.5058866921701548, 0.49618539370455794, 0.5012527988116418, 0.43568053218350633]"
74,"[0.46312873420315304, 0.5953194522660364, 0.540690751755033, 0.5863015021350746, 0.5902607783977978]","[0.2294872772461941, 0.1758636927317826, 0.05885816286857237, 0.3348714416572457, 0.20058513996840643]","[0.15676273455614786, 0.16123682867809774, 0.21976079009814198, 0.2657478208188069, 0.18577269457364898]","[0.16364504817676817, 0.16162573848157846, 0.2191024491808804, 0.2937134089299591, 0.20012310506780484]","[0.18258938863701157, 0.1661399285273194, 0.20175392549666626, 0.28074053596925674, 0.1939597186095915]","[0.2876281116781362, 0.20398445855112768, 0.08012187563152051, 0.3507855475110373, 0.21706829882065282]"
75,"[0.582444828006355, 0.5485289684397963, 0.4218766000768316, 0.4814980295247948, 0.5290766508410829]","[0.07657155452351916, 0.23733449062962775, 0.37789716415838703, 0.2630832256120401, 2.8250387029693513e-08]","[0.10586904656617346, 0.2890722455127138, 0.3784630718118611, 0.21688245639260173, 3.3328640971497236e-06]","[0.3947553537278492, 0.21597614306751078, 0.4112379628617596, 0.29874761202863287, 0.31338795494578975]","[0.4884887844141048, 0.4779171959273859, 0.421778307514973, 0.37684754621655536, 0.4404112873989531]","[0.497859030525613, 0.49331131670394823, 0.4230511170401724, 0.3974252619116564, 0.47111261122750325]"
76,"[0.3567246370959961, 0.3521242429936319, 0.5355143801789723, 0.5470428250881231, 0.5775856826874586]","[0.32256601465382895, 0.3114302905791758, 0.22727610034081713, 0.23729707763930552, 0.3008075368593712]","[0.3262922202423665, 0.2950720306556275, 0.23447340610076206, 0.23768692618122844, 0.29419916085690967]","[0.3431027575926213, 0.3341545621679525, 0.42642897786551726, 0.4425103605736992, 0.444048414869031]","[0.34763689557880495, 0.3387282659693497, 0.45744485418980785, 0.4671656295992238, 0.49396298624600754]","[0.35262410800348376, 0.3429515215464154, 0.47928884097925595, 0.50439495604876, 0.5167748923005948]"
77,"[0.3534720291229466, 0.3094729372252295, 0.4609084068317054, 0.46629690167931914, 0.5396929858165028]","[0.003181005241264523, 0.09945364194225004, 0.16974035039036828, 0.06824039677274285, 0.07780269599238732]","[0.32108429068364874, 0.26806869410166934, 0.25090026536993726, 0.07316860616875798, 0.06138745916550792]","[0.3119367807987722, 0.3488260559803391, 0.369411052797336, 0.08639092056751696, 0.10527557100241458]","[0.23217984517396129, 0.13588705853506078, 0.181507484765554, 0.07115382420510408, 0.07770298764242578]","[0.24931160383112072, 0.0877732639093236, 0.04305067687163899, 0.07578765583997416, 0.07572023285628737]"
78,"[0.5467543647254369, 0.563417106058217, 0.57919978783238, 0.3644439923205103, 0.5586389683760699]","[1.26397521449384e-07, 0.22423849362785464, 0.20187810965307462, 0.3011394893964784, 0.22297334753358555]","[0.054048700477045464, 0.10769485586381056, 0.17218300181432467, 0.2956285335074067, 0.22835491100136918]","[1.458151121624951e-06, 0.25894105146832647, 0.1907392329908335, 0.30074652746262276, 0.20077586776566458]","[0.456819092210798, 0.48427987607394374, 0.46461051731686986, 0.35543465006110087, 0.46868421773846003]","[0.49110740087910854, 0.5092072784673571, 0.5060666723876883, 0.3654812430103309, 0.501976734777889]"
79,"[0.5792973356008059, 0.36887060627747625, 0.5988670193302779, 0.47319516353950164, 0.5785177176397348]","[0.0934800515065034, 0.29312117840823204, 0.28610786239469665, 0.2510327534605713, 0.25581557593433524]","[0.09156225344994995, 0.28953233859862204, 0.27709172062818666, 0.23193767748165528, 0.03257957542720369]","[0.4246003818937871, 0.340048189196833, 0.44947874252333997, 0.32820161755276944, 0.41645986923763734]","[0.4647626272184133, 0.35932873827596923, 0.5206118484550997, 0.40716853541796283, 0.49001690541954546]","[0.521259388616393, 0.3577716618757767, 0.49804114327780535, 0.4609202072372618, 0.49539134745217017]"
80,"[0.2729781562463789, 0.541528729813285, 0.5610273552562312, 0.5229792713750786, 0.5923416016360991]","[0.2280608180426308, 0.30978856693521983, 0.22076415002857863, 0.27695369618083177, 0.2215905191229226]","[0.2719625343104414, 0.3069377762311195, 0.42843396941979717, 0.27715629209149717, 0.43580953937399847]","[0.25661934761045546, 0.3880802729678666, 0.4319552912026807, 0.4163704431931142, 0.4512737554193105]","[0.2659803389881342, 0.4663434906471736, 0.4763632458150766, 0.5018992525823585, 0.4846839737928871]","[0.261408228303484, 0.4801727152721561, 0.46626344060677705, 0.5793030300995505, 0.48865648588667765]"
81,"[0.3618318387029196, 0.34360103385889296, 0.5764189519374143, 0.46654027986627555, 0.5610464001889585]","[0.215600912095272, 0.2574158108297151, 0.43985475054281065, 0.3939623004087488, 0.1935073967846227]","[0.29362340286749067, 0.30641178421341453, 0.5011237414907087, 0.42515607195033267, 0.22426672325520602]","[0.29012215870189983, 0.3158453609290476, 0.5734506588620676, 0.4410588503355727, 0.23448755435822122]","[0.34520438240911855, 0.3371667238584204, 0.5735166624106787, 0.46117501424598606, 0.4908512300079134]","[0.3446575655553148, 0.33767757593300585, 0.5706516862297157, 0.4599970728094861, 0.4969883629032438]"
82,"[0.427703105497544, 0.34357902243102867, 0.5098168567571593, 0.5151343099300585, 0.5901588088731542]","[0.10557856945365374, 0.24820228468967975, 0.5064003468346197, 1.2419640260663556e-07, 0.500008401184947]","[0.37184669422062855, 0.24397030696467947, 0.4266297365851912, 0.1517839584808811, 0.5577197331905667]","[0.348478734052068, 0.36665270902433766, 0.4202157018537146, 2.330049458965089e-05, 0.5432075513200935]","[0.43511744283953213, 0.22269875382586657, 0.5257209025563621, 0.24567733314652085, 0.5999999999999969]","[0.42184466972625334, 0.34125162894764594, 0.5093477083362155, 0.5332539672707947, 0.5893946877271401]"
83,"[0.5945097788219567, 0.5849312006268153, 0.5826121635719723, 0.5639170183072982, 0.5840875895907292]","[0.14844777647069807, 0.24324743063285237, 0.26899861564311467, 0.363943381911651, 0.4754890460148701]","[0.12562433531409412, 0.3671379344403549, 0.36115067130411116, 0.42867920915216673, 0.4669337884416678]","[0.022090135152902812, 0.40468314244780246, 0.44291383261040596, 0.47445372818131304, 0.5923525808261628]","[0.3966097972884983, 0.4231607104552094, 0.45107375706975794, 0.4573055687707277, 0.5216257671845114]","[0.38822654543581603, 0.5174900465880862, 0.44286978129097565, 0.5585667302682722, 0.5870246637077452]"
84,"[0.5859836838455061, 0.5854839050842457, 0.599835871807196, 0.5424472751362508, 0.3740501792333162]","[0.2830776148305424, 0.34399856249235894, 0.35355370765686933, 0.40569971522811776, 2.9512366106487775e-08]","[0.5451543162590172, 0.3618332761129003, 0.29775397760069755, 0.4435705323635042, 1.3720111926573964e-06]","[0.29233909091012344, 0.4584354728498483, 0.506826430076381, 0.5161915390901215, 1.9167843978706856e-07]","[0.596794523116229, 0.33332341432698465, 0.49082671481468243, 0.5418687999670976, 0.2524135684726827]","[0.5126661829803566, 0.5101859752045368, 0.599748220340881, 0.5422155615941785, 0.32564941578921447]"
