,SO,PO,True PO,CV,EBZ,True EBZ,CV EBZ,EBPA(0.3),True EBPA(0.3),CV EBPA(0.3),EBPA(0.35),True EBPA(0.35),CV EBPA(0.35),EBPA(0.40),True EBPA(0.40),CV EBPA(0.40),EBPA(0.45),True EBPA(0.45),CV EBPA(0.45),EBPA(0.50),True EBPA(0.50),CV EBPA(0.50)
0,1.0,1.1745313473494259,0.9696447199676813,1.099227135294163,1.1504575087919247,0.9820349792606271,1.1272142044857296,1.1504620135908907,0.9820326979781411,1.127214536592398,1.1504711997432495,0.9820270903959377,1.1272138435901213,1.1506869784424916,0.9819448307012579,1.1272111126845992,1.1506811422511558,0.9819465952099082,1.1272111767043582,1.150439514395168,0.9820204653545206,1.1272127566225898
1,1.0,1.0710932707754703,0.9736948358162149,0.9551938615012254,1.0557891601213194,0.9454324606913224,1.0346025677192505,1.0543355601351063,0.9546241885411693,1.0540020741587761,1.0543417577857863,0.954635417451496,1.0540020760677435,1.0543462985077703,0.9546434275388453,1.0540019801032665,1.0557906385667477,0.9454345956170206,1.0346031981592416,1.055788087552386,0.9454309163744498,1.0346031354994536
2,1.0,1.0610481048360387,0.9740682960230692,1.0190146263914162,1.0605169958208416,0.9765411153422221,1.0240330552779056,1.0600776390403694,0.977100632710438,1.0263234818122124,1.0600855202785422,0.9770894021273023,1.0263236060592984,1.0600795053600913,0.9770978162554148,1.0263234344808725,1.0600794623663585,0.9770978470777361,1.0263235538281932,1.060091198587847,0.97708103822516,1.0263235540095077
3,1.0,1.0476629012159755,0.9887135719652334,0.9688674547993082,1.044721731382198,0.9901410590638791,0.9809654639311162,1.0388050785151448,0.9790864842158906,1.0436081986574939,1.038655519431197,0.9789690008439863,1.0436078892211442,1.0388216707815907,0.9790930211224477,1.0436088349728097,1.038823446642459,0.9790909275672876,1.0436088275052338,1.04472223503089,0.9901411469745145,0.9809653873456754
4,1.0,1.0591854747613318,0.9853774684233743,1.01816075821666,1.0591854747551908,0.9853777526397183,1.0181650277546237,1.0580098652047896,0.9815041936637928,1.0503751968206405,1.0521914526557583,0.9713988159851287,1.0449763347280963,1.0522006766493146,0.9714173163054929,1.0449764162962227,1.052228509174696,0.9714691569190261,1.044976442202371,1.052212902393758,0.971440031559412,1.0449764488673123
5,1.0,1.0382785174919358,0.8935248023648548,0.9209878526709561,1.019783273354219,0.8887535618964464,1.0124208716529357,1.0155060953731627,0.8956427560847829,1.013777581623664,1.0162788034644656,0.8963631446369515,1.0137997129637146,1.0163095273830547,0.8965718544595258,1.013800002288154,1.0167725170058965,0.8967562028599948,1.0137946628282803,1.0181097669618902,0.8918370280070469,1.0134927658847064
6,1.0,1.0125921390856305,0.9330341534215595,0.9250184476433151,1.0061282776446892,0.9347106128726087,0.9828706471549556,1.0061272422302638,0.9347113217245288,0.9828706618389379,1.006128137114726,0.9347112080193314,0.9828700296178587,1.006128250352393,0.9347127464415806,0.9828706766395863,1.0061271081623182,0.9347118336645497,0.9828704816666608,1.0061277832778963,0.9347124189803,0.9828705703390321
7,1.0,1.0494612007309863,0.9482783083419277,0.8790506833197584,1.008008666110257,0.9960051166584232,0.9700936849985446,0.9986517765834885,0.9924390883246202,0.9813698002869075,1.0080007179494648,0.9960006274589626,0.9700945675571291,1.0080478023353197,0.9960236601890223,0.9700929011273267,1.0077390910995776,0.9958861784773795,0.9700921522457243,1.0080475728152378,0.9960222493165559,0.9700936610919692
8,1.0,0.9936508006640866,0.9857713555503286,0.9654945024243857,0.9906333953151976,0.9861090304768524,1.0003721171216535,0.9906334426666047,0.9861056879521338,1.0003722442369873,0.9906335938824152,0.9861085945134809,1.0003721966393617,0.9906330949208798,0.9861096622015526,1.0003726459450062,0.9906355106015121,0.9861044137876342,1.0003721917745811,0.9913833033982411,0.9892755661228886,0.9989443357622898
9,1.0,1.0415510675159565,0.9239350420817318,0.941243511518108,1.026350271213156,0.9625141268422435,0.9527696716330174,1.028510012138734,0.9098912237029548,0.9975764356516187,1.0293578228951243,0.9094399168140271,0.997595321436843,1.0329591157527116,0.9331337404655585,0.9925389355073632,1.0328634074676806,0.9334030327459146,0.9925385159010566,1.0263393956281766,0.9625254455298776,0.9527734514697878
10,1.0,1.080016103044789,0.9243821139305672,0.9636600970293255,1.0714442741620152,0.9559147515308537,1.0307982452534739,1.0687572618019596,0.957183905878136,1.0606836807318694,1.068605066515703,0.957205401587926,1.0606818030758123,1.0687436246164985,0.9571825657128159,1.0606833464023893,1.0687379282199303,0.9571990581599389,1.06068326398185,1.0714615582843345,0.9558792476613499,1.0307977401429747
