,0
0,1.0
1,1.0029910058788332
2,0.9970034152956743
3,0.9960596971875606
4,0.9911979837627868
5,0.9960596971875606
6,0.9912569615218196
7,1.0
8,1.0029910061932568
9,0.9970034385077094
10,0.9960596976547003
11,0.9909772696398987
12,0.9960596976547003
13,0.9909431460703415
14,1.0
15,1.002987522769737
16,0.9974369918684652
17,0.9967764438494037
18,0.9926426348130974
19,0.9967764438494037
20,0.9926880619699141
21,0.44532068967819216
22,0.4510257887840271
23,0.6695052146911621
24,0.415459086894989
25,0.4167712354660034
26,0.5684993696212769
